MÊS;PRODUTO;REGIÃO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;COEF DE VARIAÇÃO REVENDA;MARGEM MÉDIA REVENDA;PREÇO MÉDIO DISTRIBUIÇÃO;DESVIO PADRÃO DISTRIBUIÇÃO;PREÇO MÍNIMO DISTRIBUIÇÃO;PREÇO MÁXIMO DISTRIBUIÇÃO;COEF DE VARIAÇÃO DISTRIBUIÇÃO;;;;;
jan/13;GNV;NORTE;3;R$/m3;1,950;0,000;1,950;1,950;0,262;0,000;1,688;0,000;1,688;1,688;0,000;;;;;
jan/13;GNV;SUDESTE;1407;R$/m3;1,658;0,160;1,379;2,599;0,370;0,097;1,288;0,156;0,835;1,780;0,121;;;;;
jan/13;GNV;SUL;379;R$/m3;1,944;0,120;1,399;2,339;0,427;0,062;1,517;0,083;1,228;1,599;0,055;;;;;
jan/13;OLEO DIESEL;CENTRO OESTE;2611;R$/l;2,257;0,137;1,990;2,670;0,218;0,061;2,039;0,096;1,847;2,327;0,047;;;;;
jan/13;OLEO DIESEL;NORDESTE;5902;R$/l;2,111;0,075;1,890;2,399;0,203;0,036;1,908;0,061;1,728;2,126;0,032;;;;;
jan/13;OLEO DIESEL;NORTE;2442;R$/l;2,285;0,168;1,990;2,950;0,259;0,074;2,026;0,089;1,795;2,570;0,044;;;;;
jan/13;OLEO DIESEL;SUDESTE;16124;R$/l;2,126;0,080;1,869;2,724;0,230;0,038;1,896;0,062;1,398;2,157;0,033;;;;;
jan/13;OLEO DIESEL;SUL;5670;R$/l;2,141;0,082;1,869;2,660;0,240;0,038;1,901;0,050;1,769;2,216;0,026;;;;;
jan/13;OLEO DIESEL S10;CENTRO OESTE;262;R$/l;2,398;0,149;2,039;2,950;0,234;0,062;2,164;0,086;1,940;2,470;0,040;;;;;
jan/13;OLEO DIESEL S10;NORDESTE;1550;R$/l;2,182;0,065;2,039;2,529;0,202;0,030;1,980;0,045;1,874;2,134;0,023;;;;;
jan/13;OLEO DIESEL S10;NORTE;390;R$/l;2,315;0,142;2,090;2,750;0,226;0,061;2,089;0,052;1,994;2,326;0,025;;;;;
jan/13;OLEO DIESEL S10;SUDESTE;1681;R$/l;2,243;0,078;1,990;2,600;0,270;0,035;1,973;0,062;1,800;2,246;0,031;;;;;
jan/13;OLEO DIESEL S10;SUL;858;R$/l;2,236;0,088;2,019;2,530;0,247;0,039;1,989;0,056;1,883;2,150;0,028;;;;;
fev/13;ETANOL HIDRATADO;CENTRO OESTE;2418;R$/l;2,046;0,146;1,650;2,599;0,298;0,071;1,748;0,142;1,320;2,122;0,081;;;;;
